start_k,end_k,start_search,end_search,time(s),datetime
1,2,1,1000000,2.793895959854126,2025-03-09 19:51:16.278124
1,11,1,10000000,373.4326539039612,2025-03-09 19:59:29.418362
9,10,1,1000000,2.8220131397247314,2025-03-09 22:40:42.772364
9,10,1,1000000,2.76545786857605,2025-03-09 22:42:44.221873
9,10,1,1000000,5.272783994674683,2025-03-09 22:46:29.024319
9,10,1,1000000,2.8251140117645264,2025-03-09 22:46:41.305840
9,10,1,100000000,538.7673509120941,2025-03-09 22:56:00.801683
9,10,1,10000000,35.9832820892334,2025-03-09 22:57:12.117750
9,10,1,10000000,35.3562331199646,2025-03-09 22:59:46.251743
10,11,1,100000000,639.9317770004272,2025-03-09 23:11:13.714028
10,11,1,10000000,51.35426306724548,2025-03-09 23:13:53.484452
1,2,1,1000000,2.5654258728027344,2025-03-10 11:34:09.289458
1,10,1,100000,3.4763410091400146,2025-03-10 11:34:54.161447
9,10,1,10000000,32.955920934677124,2025-03-10 11:39:31.232102
9,10,1,10000000,33.31884503364563,2025-03-10 11:45:03.425025
9,10,1,10000000,33.33900213241577,2025-03-10 11:48:17.360800
1,11,1,1000000,25.78180193901062,2025-03-10 12:02:29.971804
9,10,1,10000000,32.99129509925842,2025-03-10 12:04:06.538137
9,10,1,10000000,32.68836307525635,2025-03-10 12:09:17.626528
1,11,1,1000000,25.89923405647278,2025-03-10 12:10:13.926602
1,11,1,1000000,25.8499116897583,2025-03-10 12:13:18.843028
1,11,1,10000000,357.02742290496826,2025-03-10 12:20:21.366242
1,11,1,1000000,110.53525233268738,2025-03-10 14:02:06.830231
1,2,1,1000000,2.625506639480591,2025-03-10 14:12:09.096793
