k,p1,p2
5,3,7
5,7,3
2,571,2131
2,2131,571
4,5741,33461
4,33461,5741
1,89,233
1,233,89
2,571,2131
2,2131,571
3,2089,10009
3,10009,2089
4,5741,33461
4,33461,5741
5,3,7
5,7,3
7,2,11
7,11,2
8,89,881
8,881,89
11,3,5
11,5,3
12,181,2521
12,2521,181
11,3,5
11,5,3
12,181,2521
12,2521,181
14,23,181
14,181,23
19,73,191
19,191,73
21,53939,697033
23,2,3
23,3,2
23,599,14951
23,14951,599
27,829,9043
27,9043,829
31,5,7
31,7,5
31,41,107
31,107,41
31,6011,15737
31,15737,6011
34,1259,45289
34,45289,1259
39,827,10687
39,10687,827
43,59,881
43,881,59
47,3,7
47,7,3
47,2351,115151
50,6763,134921
55,7,13
55,13,7
55,17,43
55,43,17
55,26683,69857
55,69857,26683
58,3539,212281
61,23,59
61,59,23
66,13,47
66,47,13
66,653,2437
66,2437,653
66,16477,61493
66,61493,16477
71,3,5
71,5,3
75,1399,6703
75,5851,450451
75,6703,1399
75,10009,229771
79,13,31
79,31,13
79,67273,176123
85,7481,650761
87,2,13
87,13,2
87,151,2861
87,2861,151
89,5,19
89,19,5
99,10099,1019899
1,89,233
-100,7,17
-100,13,23
-100,19,29
-100,31,41
-100,37,47
-100,43,53
-100,61,71
-100,73,83
-100,79,89
-100,97,107
-97,3,11
-95,13,37
-95,95083,4276621
-93,7,11
-92,43,251
-91,5,11
-91,8009,712711
-85,6971,578509
-85,19031,91183
-78,5669,21157
-77,4241,63331
-74,5,7
-67,31,149
-66,2543,20021
-66,4159,266111
-64,11,19
-64,23,31
-64,29,37
-64,53,61
-64,59,67
-64,71,79
-64,89,97
-64,101,109
-64,131,139
-64,149,157
-61,3,13
-61,83,569
-58,3,7
-58,3191,178639
-55,2861,151579
-53,2,7
1,89,233
-50,2351,112799
-49,3,5
-45,521,3571
-41,23,61
-41,43,113
-41,419,1097
-41,1559,60761
-40,1277,12641
-39,5,7
-37,3,7
-37,1259,44029
-36,13,19
-36,23,29
-36,37,43
-36,53,59
-36,73,79
-36,83,89
-36,103,109
-36,107,113
-36,131,137
-36,157,163
-34,3,5
-29,2,5
-29,53,139
-29,241,631
-28,701,18199
-22,683,2549
-19,3,5
-16,7,11
-16,13,17
-16,19,23
-16,37,41
-16,43,47
-16,67,71
-16,79,83
-16,97,101
-16,103,107
-16,109,113
-15,181,2339
-13,2,3
